name,contact_name,contact_email,industry_sector,industry,sub_industry,notes
supplier1,name1,email1,Information and communication,Software Development,Software,notes1
supplier2,name2,email2,Information and communication,Software Development,Software,notes2
supplier3,name3,email3,Information and communication,Software Development,Software,notes3
supplier4,name4,email4,Information and communication,Software Development,Software,notes4
supplier5,name5,email5,Information and communication,Software Development,Software,notes5
supplier6,name6,email6,Information and communication,Software Development,Software,notes6
supplier7,name7,email7,Information and communication,Software Development,Software,notes7
supplier8,name8,email8,Information and communication,Software Development,Software,notes8
supplier9,name9,email9,Information and communication,Software Development,Software,notes9
supplier10,name10,email10,Information and communication,Software Development,Software,notes10
supplier11,name11,email11,Information and communication,Software Development,Software,notes11
supplier12,name12,email12,Information and communication,Software Development,Software,notes12
